_NAME_,_LABEL_, sample_promo_coeffs , test_promo_coeffs , total_promo_coeffs 
Grade_by_step3occ_620_grade_6_s4,  occ_620_grade_6_step_04,-1.9907 ,-1.9852 ,-2.0113 
Grade_by_step3occ_620_grade_6_s5,  occ_620_grade_6_step_05,-2.0213 ,-2.0104 ,-2.0392 
Grade_by_step3occ_620_grade_6_s6,  occ_620_grade_6_step_06,-2.0170 ,-2.0069 ,-2.0330 
Grade_by_step3occ_620_grade_6_s7,  occ_620_grade_6_step_07,-2.0494 ,-2.0370 ,-2.0584 
Grade_by_step3occ_620_grade_6_s8,  occ_620_grade_6_step_08,-1.9724 ,-1.9613 ,-1.9823 
Grade_by_step3occ_620_grade_6_s9,  occ_620_grade_6_step_09,-1.9558 ,-1.9363 ,-1.9550 
Grade_by_step3occ_620_grade_6_st,  occ_620_grade_6_step_01,-1.5697 ,-1.5029 ,-1.5310 
Grade_by_step3occ_620_grade_9910,  occ_620_grade_99_step_10,-1.7836 ,-1.7552 ,-1.7710 
Grade_by_step3occ_620_grade_9911,  occ_620_grade_99_step_X, 4.2868 , 5.0420 , 4.5079 
Grade_by_step3occ_620_grade_99_2,  occ_620_grade_99_step_02,-0.4764 ,-0.5865 ,-0.5223 
Grade_by_step3occ_620_grade_99_3,  occ_620_grade_99_step_03,-1.3878 ,-1.0930 ,-1.1942 
Grade_by_step3occ_620_grade_99_4,  occ_620_grade_99_step_04,-1.6586 ,-1.7213 ,-1.6902 
Grade_by_step3occ_620_grade_99_5,  occ_620_grade_99_step_05,-1.6200 ,-1.7487 ,-1.7164 
Grade_by_step3occ_620_grade_99_6,  occ_620_grade_99_step_06,-1.9197 ,-1.7542 ,-1.8436 
Grade_by_step3occ_620_grade_99_7,  occ_620_grade_99_step_07,-1.9546 ,-1.9194 ,-1.9302 
Grade_by_step3occ_620_grade_99_8,  occ_620_grade_99_step_08,-1.8186 ,-1.8021 ,-1.8223 
Grade_by_step3occ_620_grade_99_9,  occ_620_grade_99_step_09,-1.7432 ,-1.7928 ,-1.7923 
