soc,wage_50_comparison_groups,wage_10,wage_25,wage_50,education,experience,training,english,health_insurance_pct,regular_schedule_pct,full_time_pct,safety_conditions,male_75+_pct,male_pct,employment_2014,employment_2024,growth_2014_2024,growth_2014_2024_pct,growth_replacement_2014_2024
516061,29000,19450,21800,26340,1,None,Short-term on-the-job training,2.8,0.611,0.868,0.945,11,No,0.742,11.7,8.9,-2.8,-0.239,1.2
499098,26000,18320,20920,26400,1,None,Short-term on-the-job training,3.3,0.424,0.75,0.936,11,Yes,0.905,129,141.2,12.2,0.094,53.8
433071,27000,20320,22540,26410,1,None,Short-term on-the-job training,3.7,0.832,0.94,0.682,6,No,0.175,520.5,480.5,-40,-0.077,203.6
473014,28000,19220,21830,26480,0,None,Short-term on-the-job training,3.1,0.518,0.397,0.887,10,Yes,0.976,11.9,13.1,1.2,0.105,2.7
519151,28700,19170,21690,26590,1,None,Short-term on-the-job training,3.1,0.744,na,0.788,na,No,0.496,28.8,19.4,-9.5,-0.329,5.6
392011,35000,18160,20640,26610,1,None,Moderate-term on-the-job training,3.1,0.481,0.634,0.76,12,No,0.408,36.8,40.9,4.1,0.111,17.4
519031,28000,19120,21570,26820,0,None,Short-term on-the-job training,1.9,0.665,0.871,0.803,11,Yes,0.79,15.8,13,-2.8,-0.175,3.1
516064,28000,20110,22840,26870,1,None,Moderate-term on-the-job training,2.3,0.738,0.982,0.985,12,No,0.458,26,20.3,-5.6,-0.217,4.2
273012,29100,17430,19160,26930,1,None,Short-term on-the-job training,2.8,0.655,0.286,0.521,9,Yes,0.76,10.2,10.5,0.3,0.029,3.2
513092,28000,18740,21180,26950,1,None,Moderate-term on-the-job training,2.9,0.738,0.756,0.792,11,No,0.491,122.5,122,-0.5,-0.004,26.4
473016,28000,19680,22500,27110,0,None,Short-term on-the-job training,2.8,0.518,0.375,0.887,11,Yes,0.976,11.3,13,1.7,0.153,3.1
516063,33000,19110,22150,27220,1,None,Short-term on-the-job training,2.8,0.955,0.702,0.984,12,No,0.456,27.9,20.6,-7.3,-0.262,4.6
435021,30000,18880,21670,27280,1,None,Short-term on-the-job training,3.1,0.705,0.886,0.832,11,Yes,0.882,92.9,97.7,4.8,0.052,16.5
434171,30000,19070,22140,27300,1,None,Short-term on-the-job training,3.9,0.739,0.834,0.651,9,No,0.104,1028.6,1126.3,97.8,0.095,375
453011,30000,18760,21550,27340,0,None,Moderate-term on-the-job training,2.5,0.393,0.122,0.897,12,Yes,0.968,14.2,14.1,-0.01,-0.007,3.5
432011,32000,19410,22410,27440,1,None,Short-term on-the-job training,3.7,0.868,0.941,0.858,8,No,0.191,112.4,75.4,-37,-0.329,13.3
493091,30000,19060,22140,27470,1,None,Moderate-term on-the-job training,4,0.524,0.496,0.832,11,Yes,0.996,10.8,13.2,2.3,0.217,6
419012,30000,17050,18780,27530,0,None,None,1.8,0.638,0.328,0.026,6,No,0.472,5.8,5.8,0,-0.002,1.7
513093,25000,18720,21270,27760,1,None,Moderate-term on-the-job training,3.5,0.55,0.745,0.806,11,No,0.653,37.5,38,0.5,0.013,8.3
517041,35000,19020,22250,27800,1,None,Short-term on-the-job training,2.2,0.563,0.572,0.938,11,Yes,0.929,50,49.5,-0.5,-0.011,14.2
517042,30000,19380,22520,27820,1,None,Short-term on-the-job training,2.3,0.655,0.913,0.995,10,Yes,0.92,72.1,70.4,-1.7,-0.024,12.5
434071,30000,19080,22090,27850,1,None,Short-term on-the-job training,3.7,0.825,0.999,0.734,7,No,0.254,159,150.1,-8.9,-0.056,32
473012,28000,19280,22560,27890,0,None,Short-term on-the-job training,3.9,0.518,0.616,0.887,12,Yes,0.976,39.7,42.7,3,0.075,8
513091,25000,19140,22180,28060,0,None,Moderate-term on-the-job training,2,0.774,0.211,0.809,11,No,0.748,18.5,18.7,0.1,0.007,4
473015,28000,20050,23470,28500,1,None,Short-term on-the-job training,3.3,0.518,0.44,0.887,12,Yes,0.976,52.4,59.4,7,0.134,13.6
439051,34000,18720,22220,28570,1,None,Short-term on-the-job training,2.2,0.755,0.659,0.808,10,No,0.454,104.9,85.1,-19.8,-0.188,21.4
519022,29100,19800,23080,28610,0,None,Moderate-term on-the-job training,3.1,0.777,0.66,0.972,11,Yes,0.864,29.9,27.3,-2.6,-0.088,6.5
339099,26800,18740,21580,28650,1,None,Short-term on-the-job training,4.1,0.713,0.872,-0.566,9,No,0.626,113.8,120.4,6.6,0.058,22.6
435111,30000,19150,22250,28690,1,None,Short-term on-the-job training,2.9,0.808,0.669,0.886,12,No,0.551,71.3,71.2,-0.1,-0.001,21.1
473013,28000,19680,23480,28730,1,None,Short-term on-the-job training,3.6,0.518,0.251,0.887,10,Yes,0.976,69,81.5,12.5,0.18,21.1
439071,27000,19340,23020,29010,1,None,Short-term on-the-job training,3.8,0.755,0.991,0.675,9,No,0.524,69.6,58,-11.5,-0.166,15.8
396012,29300,19830,23050,29030,1,None,Moderate-term on-the-job training,4.3,0.775,0.581,0.795,6,Yes,0.83,31.2,34.4,3.3,0.104,9.6
513021,30000,19200,22570,29130,0,None,Long-term on-the-job training,2,0.695,0.688,0.864,10,Yes,0.781,139,146,7,0.05,34.4
517021,26000,19840,23760,29200,1,None,Short-term on-the-job training,1.9,0.563,0.586,0.893,11,Yes,0.86,17.1,16.7,-0.4,-0.024,3
533099,31200,17830,19770,29230,0,None,Short-term on-the-job training,na,0.743,na,0.7,na,Yes,0.841,62,67.3,5.3,0.086,24.3
519123,28000,19390,23050,29270,0,None,Moderate-term on-the-job training,2.1,0.698,0.686,0.95,12,Yes,0.903,17.5,17.2,-0.3,-0.02,3.3
473011,28000,20770,24390,29320,0,None,Short-term on-the-job training,3,0.518,0.233,0.887,12,Yes,0.976,23.5,28.8,5.3,0.224,8.2
537063,37000,19350,22420,29440,0,None,Short-term on-the-job training,2.9,0.713,0.73,0.706,12,No,0.687,104.2,100.7,-3.5,-0.034,22.9
439021,30000,20030,23950,29460,1,None,Moderate-term on-the-job training,3.7,0.806,0.979,0.822,7,No,0.239,216.8,208.9,-7.9,-0.037,27.6
533022,33000,18210,22310,29490,1,None,Short-term on-the-job training,3.4,0.806,0.768,0.644,10,No,0.556,497.3,524.9,27.7,0.056,93
439061,30000,18840,22540,29580,1,None,Short-term on-the-job training,3.7,0.795,1,0.763,10,No,0.194,3062.5,3158.2,95.8,0.031,756.2
519195,32000,19800,23610,29630,1,None,Long-term on-the-job training,3.2,0.571,0.964,0.855,11,Yes,0.877,41.4,38.9,-2.5,-0.06,14.2
412022,30000,18800,22400,29650,0,None,Moderate-term on-the-job training,3.5,0.764,0.946,0.911,10,Yes,0.871,234.7,251.5,16.8,0.072,68.9
